mutation_type,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
LD,20,"(6.443269e-05, 4.769134e-06)","(0.02746269, 0.002883212)","(0.027473032, 0.0028820783)"
LD,25,"(5.3342126e-05, 4.769134e-06)","(0.026987975, 0.002883212)","(0.02699427, 0.0028820783)"
LD,30,"(0.00010562557, 4.769134e-06)","(0.035697766, 0.002883212)","(0.035724647, 0.0028820783)"
LD,35,"(5.555064e-05, 4.769134e-06)","(0.029134387, 0.002883212)","(0.029129112, 0.0028820783)"
LD,40,"(5.8744146e-05, 4.769134e-06)","(0.044101074, 0.002883212)","(0.044104736, 0.0028820783)"
LD,45,"(5.9053564e-05, 4.769134e-06)","(0.049111523, 0.002883212)","(0.049120598, 0.0028820783)"
LD,50,"(6.597337e-05, 4.769134e-06)","(0.04691508, 0.002883212)","(0.04691363, 0.0028820783)"
NEB,5,"(2.4724395e-06, 6.5930562e-06)","(0.0032645592, 0.0049419682)","(0.0032639683, 0.0049456656)"
NEB,10,"(3.5396627e-06, 5.972481e-07)","(0.0031217944, 0.00023451103)","(0.0031235164, 0.00023461273)"
NEB,15,"(1.9206836e-06, 1.0663346e-06)","(0.0031481653, 7.727186e-07)","(0.0031478205, 1.432458e-06)"
NEB,20,"(7.671822e-06, 1.0663346e-06)","(0.0030850724, 7.727186e-07)","(0.0030882952, 1.432458e-06)"
